user_id,activity_date,action_type
U0000,2024-01-01,login
U0000,2024-01-03,login
U0000,2024-01-09,view_offers
U0000,2024-01-14,login
U0000,2024-01-15,login
U0000,2024-01-20,login
U0000,2024-01-21,login
U0001,2024-01-01,transaction
U0001,2024-01-07,transaction
U0001,2024-01-14,login
U0001,2024-01-15,login
U0001,2024-01-17,view_offers
U0001,2024-01-19,login
U0001,2024-01-20,login
U0001,2024-01-22,login
U0001,2024-01-25,view_offers
U0001,2024-01-28,login
U0001,2024-01-29,login
U0001,2024-01-30,transaction
U0002,2024-01-02,view_offers
U0002,2024-01-03,view_offers
U0002,2024-01-04,transaction
U0002,2024-01-06,login
U0002,2024-01-07,login
U0002,2024-01-08,login
U0002,2024-01-12,login
U0002,2024-01-13,login
U0002,2024-01-14,login
U0002,2024-01-15,view_offers
U0002,2024-01-16,login
U0002,2024-01-17,login
U0002,2024-01-18,transaction
U0002,2024-01-19,login
U0002,2024-01-20,login
U0002,2024-01-21,view_offers
U0002,2024-01-22,login
U0002,2024-01-24,view_offers
U0002,2024-01-25,view_offers
U0002,2024-01-28,login
U0002,2024-01-29,view_offers
U0002,2024-01-30,login
U0003,2024-01-01,view_offers
U0003,2024-01-02,login
U0003,2024-01-03,view_offers
U0003,2024-01-04,view_offers
U0003,2024-01-07,transaction
U0003,2024-01-08,view_offers
U0003,2024-01-10,login
U0003,2024-01-11,login
U0003,2024-01-12,login
U0003,2024-01-14,login
U0003,2024-01-15,transaction
U0003,2024-01-16,login
U0003,2024-01-17,login
U0003,2024-01-18,view_offers
U0003,2024-01-19,login
U0003,2024-01-22,login
U0003,2024-01-25,login
U0003,2024-01-26,login
U0003,2024-01-27,view_offers
U0004,2024-01-12,view_offers
U0004,2024-01-18,transaction
U0004,2024-01-19,login
U0004,2024-01-26,view_offers
U0005,2024-01-02,login
U0005,2024-01-05,login
U0005,2024-01-07,view_offers
U0005,2024-01-08,view_offers
U0005,2024-01-09,login
U0005,2024-01-11,transaction
U0005,2024-01-14,login
U0005,2024-01-19,login
U0005,2024-01-25,view_offers
U0005,2024-01-26,transaction
U0005,2024-01-28,login
U0006,2024-01-01,login
U0006,2024-01-06,login
U0006,2024-01-09,view_offers
U0006,2024-01-15,login
U0006,2024-01-24,view_offers
U0007,2024-01-03,login
U0007,2024-01-06,transaction
U0007,2024-01-08,login
U0007,2024-01-10,login
U0007,2024-01-11,login
U0007,2024-01-12,transaction
